Category	CategoryID	GO	Description	PARENT_GO	LogP	Enrichment	Z-score	#TotalGeneInLibrary	#GeneInGO	#GeneInHitList	#GeneInGOAndHitList	%InGO	STDV %InGO	GeneID	Hits	Log(q-value)	GeneList
GO Biological Processes	19	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	19_GO:0048519 negative regulation of biological process	-3.2	4.3	4.5	16230	94	325	8	2.5	0.86	12043|14165|15234|16000|16196|16403|20312|21929	Bcl2|Fgf10|Hgf|Igf1|Il7|Itga6|Cx3cl1|Tnfaip3	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0071407	cellular response to organic cyclic compound	19_GO:0050896 response to stimulus	-3.2	2.4	3.9	16230	376	325	18	5.5	1.3	11820|13078|13123|14677|16000|16011|16452|17718|18023|18795|19883|20296|20501|20512|20541|20846|22027|238871	App|Cyp1b1|Cyp7b1|Gnai1|Igf1|Igfbp5|Jak2|ND3|Nfe2l1|Plcb1|Rora|Ccl2|Slc16a1|Slc1a3|Slc8a1|Stat1|Hsp90b1|Pde4d	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	19_GO:0050896 response to stimulus	-3.2	3.1	4.1	16230	196	325	12	3.7	1	16149|18829|19883|20312|20846|21353|21929|22031|24047|24108|57783|211550	Cd74|Ccl21a|Rora|Cx3cl1|Stat1|Tank|Tnfaip3|Traf3|Ccl19|Ubd|Tnip1|Tifa	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0060638	mesenchymal-epithelial cell signaling	19_GO:0050789 regulation of biological process	-3.2	17	6.7	16230	9	325	3	0.92	0.53	14165|14178|15234	Fgf10|Fgf7|Hgf	-2.4	Pdgfra_low_UP
CORUM	33	CORUM:414	(ER)-localized multiprotein complex, in absence of Ig heavy chains		-3.2	17	6.7	16230	9	325	3	0.92	0.53	12304|22027|64136	Pdia4|Hsp90b1|Sdf2l1	-2.4	Pdgfra_low_UP
Reactome Gene Sets	6	R-MMU-9020956	Interleukin-27 signaling		-3.2	17	6.7	16230	9	325	3	0.92	0.53	12330|16195|16452	Canx|Il6st|Jak2	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0045667	regulation of osteoblast differentiation	19_GO:0032502 developmental process	-3.2	3.5	4.3	16230	143	325	10	3.1	0.96	12167|12168|16000|16011|16195|22341|23892|50766|68713|329278	Bmpr1b|Bmpr2|Igf1|Igfbp5|Il6st|Vegfc|Grem1|Crim1|Ifitm1|Tnn	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0048771	tissue remodeling	19_GO:0032501 multicellular organismal process	-3.2	3.8	4.3	16230	119	325	9	2.8	0.91	12168|14165|16000|16011|16196|21857|72780|233328|319939	Bmpr2|Fgf10|Igf1|Igfbp5|Il7|Timp1|Rspo3|Lrrk1|Tns3	-2.4	Pdgfra_low_UP
KEGG Pathway	24	mmu05166	Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)		-3.2	2.9	4.1	16230	226	325	13	4	1.1	12010|12317|12330|14960|14961|14964|14969|14972|14998|15018|15040|19698|110557	B2m|Calr|Canx|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|Relb|H2-Q6	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0019725	cellular homeostasis	19_GO:0042592 homeostatic process	-3.2	2	3.7	16230	616	325	25	7.7	1.5	11820|12010|12043|12288|14319|15212|16000|16948|18023|20296|20307|20312|20512|20541|20656|22166|22329|53322|66222|74748|108155|109676|117167|210808|213053	App|B2m|Bcl2|Cacna1c|Fth1|Hexb|Igf1|Lox|Nfe2l1|Ccl2|Ccl8|Cx3cl1|Slc1a3|Slc8a1|Sod2|Txn1|Vcam1|Nucb2|Serpinb1a|Slamf8|Ogt|Ank2|Steap4|Lacc1|Slc39a14	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0010810	regulation of cell-substrate adhesion	19_GO:0050789 regulation of biological process	-3.2	2.9	4	16230	227	325	13	4	1.1	11426|11815|12043|12317|14758|16403|16452|18606|18829|20971|23892|208177|320712	Macf1|Apod|Bcl2|Calr|Gpm6b|Itga6|Jak2|Enpp2|Ccl21a|Sdc4|Grem1|Phldb2|Abi3bp	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0031344	regulation of cell projection organization	19_GO:0050789 regulation of biological process	-3.2	1.9	3.7	16230	760	325	29	8.9	1.6	11426|11820|12010|12168|12505|12877|14964|14972|15234|16403|16819|17909|17973|18606|18829|20311|20312|20356|20720|24047|29819|80883|210933|214459|227541|270120|320712|329278|545156	Macf1|App|B2m|Bmpr2|Cd44|Cpeb1|H2-D1|H2-K1|Hgf|Itga6|Lcn2|Myo10|Nck1|Enpp2|Ccl21a|Cxcl5|Cx3cl1|Sema5a|Serpine2|Ccl19|Stau2|Ntng1|Adgrb3|Fnbp1l|Camk1d|Fat3|Abi3bp|Tnn|Kalrn	-2.4	Pdgfra_low_UP
Reactome Gene Sets	6	R-MMU-388396	GPCR downstream signalling		-3.2	2.2	3.8	16230	479	325	21	6.5	1.4	11535|11820|12266|13610|14677|14701|17329|17392|18795|18829|19734|19737|20311|20312|23984|24047|29863|55985|238871|381413|545156	Adm|App|C3|S1pr3|Gnai1|Gng12|Cxcl9|Mmp3|Plcb1|Ccl21a|Rgs16|Rgs5|Cxcl5|Cx3cl1|Pde10a|Ccl19|Pde7b|Cxcl13|Pde4d|Gpr176|Kalrn	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0071677	positive regulation of mononuclear cell migration	19_GO:0040011 locomotion	-3.2	4.7	4.6	16230	74	325	7	2.2	0.81	11820|12317|18829|20296|20306|27226|55985	App|Calr|Ccl21a|Ccl2|Ccl7|Pla2g7|Cxcl13	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0070661	leukocyte proliferation	19_GO:0009987 cellular process	-3.2	3.2	4.1	16230	172	325	11	3.4	1	12043|12759|14962|15976|16196|17311|20312|24099|51797|76527|77125	Bcl2|Clu|Cfb|Ifnar2|Il7|Kitl|Cx3cl1|Tnfsf13b|Ctps|Il34|Il33	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0030029	actin filament-based process	19_GO:0009987 cellular process	-3.1	2.1	3.7	16230	549	325	23	7.1	1.4	11994|12043|12288|12317|14165|14178|14457|17973|18595|19246|22027|22290|30794|68178|69538|72333|98932|109624|109676|109711|214459|245880|545370	Pcdh15|Bcl2|Cacna1c|Calr|Fgf10|Fgf7|Gas7|Nck1|Pdgfra|Ptpn1|Hsp90b1|Uty|Pdlim4|Cgnl1|Antxr1|Palld|Myl9|Cald1|Ank2|Actn1|Fnbp1l|Wasf3|Hmcn1	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	19_GO:0050896 response to stimulus	-3.1	9.5	5.6	16230	21	325	4	1.2	0.61	12043|13078|16452|20656	Bcl2|Cyp1b1|Jak2|Sod2	-2.4	Pdgfra_low_UP
GO Biological Processes	19	GO:0045765	regulation of angiogenesis	19_GO:0032502 developmental process	-3.1	2.6	3.9	16230	288	325	15	4.6	1.2	11535|12266|13078|13855|15234|20296|20356|20846|22341|23892|68545|210933|240725|320924|329278	Adm|C3|Cyp1b1|Epn2|Hgf|Ccl2|Sema5a|Stat1|Vegfc|Grem1|Ecscr|Adgrb3|Sulf1|Ccbe1|Tnn	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0002253	activation of immune response	19_GO:0002376 immune system process	-3.1	2.5	3.9	16230	319	325	16	4.9	1.2	12043|12258|12263|12266|12475|14469|14962|16803|22031|50908|50909|57783|210808|211550|229898|238871	Bcl2|Serping1|C2|C3|Cd14|Gbp2|Cfb|Lbp|Traf3|C1s1|C1ra|Tnip1|Lacc1|Tifa|Gbp5|Pde4d	-2.3	Pdgfra_low_UP
WikiPathways	27	WP2841	Focal adhesion: PI3K-Akt-mTOR signaling pathway		-3.1	2.6	3.9	16230	289	325	15	4.6	1.2	14165|14178|14600|14701|15234|15976|16000|16403|16452|16772|17311|18595|22027|22341|329278	Fgf10|Fgf7|Ghr|Gng12|Hgf|Ifnar2|Igf1|Itga6|Jak2|Lama1|Kitl|Pdgfra|Hsp90b1|Vegfc|Tnn	-2.3	Pdgfra_low_UP
GO Molecular Functions	21	GO:0016491	oxidoreductase activity		-3.1	2	3.7	16230	657	325	26	8	1.5	12040|12304|12870|13078|13123|14319|15483|16948|17716|17717|17718|18230|18451|18484|20250|20656|20657|22166|22290|22329|56615|109672|112407|117167|268566|665563	Bckdhb|Pdia4|Cp|Cyp1b1|Cyp7b1|Fth1|Hsd11b1|Lox|ND1|ND2|ND3|Nxn|P4ha1|Pam|Scd2|Sod2|Sod3|Txn1|Uty|Vcam1|Mgst1|Cyb5a|Egln3|Steap4|Gphn|Mthfd2l	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:1903131	mononuclear cell differentiation	19_GO:0032502 developmental process	-3.1	2.4	3.8	16230	352	325	17	5.2	1.2	12010|12043|14102|14961|14998|15976|16149|16196|16847|19698|19883|21929|24047|24099|24108|74748|79221	B2m|Bcl2|Fas|H2-Ab1|H2-DMa|Ifnar2|Cd74|Il7|Lepr|Relb|Rora|Tnfaip3|Ccl19|Tnfsf13b|Ubd|Slamf8|Hdac9	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0090022	regulation of neutrophil chemotaxis	19_GO:0040011 locomotion	-3.1	6.7	5	16230	37	325	5	1.5	0.68	16149|16803|18829|24047|227541	Cd74|Lbp|Ccl21a|Ccl19|Camk1d	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0032692	negative regulation of interleukin-1 production	19_GO:0048519 negative regulation of biological process	-3.1	6.7	5	16230	37	325	5	1.5	0.68	16000|20312|21929|66222|282663	Igf1|Cx3cl1|Tnfaip3|Serpinb1a|Serpinb1b	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0002269	leukocyte activation involved in inflammatory response	19_GO:0002376 immune system process	-3.1	6.7	5	16230	37	325	5	1.5	0.68	11820|12759|16452|20312|77125	App|Clu|Jak2|Cx3cl1|Il33	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0061041	regulation of wound healing	19_GO:0050896 response to stimulus	-3.1	3.7	4.2	16230	123	325	9	2.8	0.91	11475|12258|18595|18791|20296|20720|21788|107589|208177	Acta2|Serping1|Pdgfra|Plat|Ccl2|Serpine2|Tfpi|Mylk|Phldb2	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:1901342	regulation of vasculature development	19_GO:0032502 developmental process	-3.1	2.6	3.9	16230	292	325	15	4.6	1.2	11535|12266|13078|13855|15234|20296|20356|20846|22341|23892|68545|210933|240725|320924|329278	Adm|C3|Cyp1b1|Epn2|Hgf|Ccl2|Sema5a|Stat1|Vegfc|Grem1|Ecscr|Adgrb3|Sulf1|Ccbe1|Tnn	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0002604	regulation of dendritic cell antigen processing and presentation	19_GO:0002376 immune system process	-3.1	15	6.3	16230	10	325	3	0.92	0.53	16149|18829|24047	Cd74|Ccl21a|Ccl19	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0002634	regulation of germinal center formation	19_GO:0002376 immune system process	-3.1	15	6.3	16230	10	325	3	0.92	0.53	14998|21929|24099	H2-DMa|Tnfaip3|Tnfsf13b	-2.3	Pdgfra_low_UP
CORUM	33	CORUM:413	(ER)-localized multiprotein complex, Ig heavy chains associated		-3.1	15	6.3	16230	10	325	3	0.92	0.53	12304|22027|64136	Pdia4|Hsp90b1|Sdf2l1	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	19_GO:0048518 positive regulation of biological process	-3.1	15	6.3	16230	10	325	3	0.92	0.53	16000|16010|16011	Igf1|Igfbp4|Igfbp5	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0051450	myoblast proliferation	19_GO:0009987 cellular process	-3.1	15	6.3	16230	10	325	3	0.92	0.53	14178|15234|16000	Fgf7|Hgf|Igf1	-2.3	Pdgfra_low_UP
WikiPathways	27	WP2271	Macrophage markers		-3.1	15	6.3	16230	10	325	3	0.92	0.53	12475|16149|17105	Cd14|Cd74|Lyz2	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0051345	positive regulation of hydrolase activity	19_GO:0065007 biological regulation	-3.1	2.1	3.7	16230	522	325	22	6.8	1.4	11820|14102|16403|16452|18595|18829|19734|20296|20306|20307|20312|20846|21353|24047|55985|69538|71310|109700|170625|217944|218038|545156	App|Fas|Itga6|Jak2|Pdgfra|Ccl21a|Rgs16|Ccl2|Ccl7|Ccl8|Cx3cl1|Stat1|Tank|Ccl19|Cxcl13|Antxr1|Tbc1d9|Itga1|Snx18|Rapgef5|Amph|Kalrn	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	19_GO:0048518 positive regulation of biological process	-3.1	9.1	5.4	16230	22	325	4	1.2	0.61	12877|16452|20296|77125	Cpeb1|Jak2|Ccl2|Il33	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0060337	type I interferon-mediated signaling pathway	19_GO:0044419 biological process involved in interspecies interaction between organisms	-3.1	9.1	5.4	16230	22	325	4	1.2	0.61	15976|20846|68713|80876	Ifnar2|Stat1|Ifitm1|Ifitm2	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0036473	cell death in response to oxidative stress	19_GO:0050896 response to stimulus	-3.1	9.1	5.4	16230	22	325	4	1.2	0.61	12043|13078|16452|20656	Bcl2|Cyp1b1|Jak2|Sod2	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0061298	retina vasculature development in camera-type eye	19_GO:0032502 developmental process	-3.1	9.1	5.4	16230	22	325	4	1.2	0.61	12168|13078|16772|18595	Bmpr2|Cyp1b1|Lama1|Pdgfra	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0071357	cellular response to type I interferon	19_GO:0044419 biological process involved in interspecies interaction between organisms	-3.1	9.1	5.4	16230	22	325	4	1.2	0.61	15976|20846|68713|80876	Ifnar2|Stat1|Ifitm1|Ifitm2	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0043086	negative regulation of catalytic activity	19_GO:0065007 biological regulation	-3	2	3.6	16230	593	325	24	7.4	1.5	11820|12258|12505|13014|15234|16000|16196|16847|19246|20541|20708|20720|20723|20733|21788|21857|21929|66222|73914|79221|97998|213053|238393|282663	App|Serping1|Cd44|Cstb|Hgf|Igf1|Il7|Lepr|Ptpn1|Slc8a1|Serpinb6b|Serpine2|Serpinb9|Spint2|Tfpi|Timp1|Tnfaip3|Serpinb1a|Irak3|Hdac9|Deptor|Slc39a14|Serpina3f|Serpinb1b	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:2001234	negative regulation of apoptotic signaling pathway	19_GO:0048519 negative regulation of biological process	-3	2.8	3.9	16230	234	325	13	4	1.1	12043|12505|12759|14165|15234|16000|16149|16196|16403|19246|20312|20656|21929	Bcl2|Cd44|Clu|Fgf10|Hgf|Igf1|Cd74|Il7|Itga6|Ptpn1|Cx3cl1|Sod2|Tnfaip3	-2.3	Pdgfra_low_UP
Reactome Gene Sets	6	R-MMU-166658	Complement cascade		-3	6.6	4.9	16230	38	325	5	1.5	0.68	12258|12263|12266|12759|50909	Serping1|C2|C3|Clu|C1ra	-2.3	Pdgfra_low_UP
GO Cellular Components	20	GO:0030139	endocytic vesicle		-3	2.9	3.9	16230	207	325	12	3.7	1	11303|12010|12317|13855|14319|14964|14972|15018|15040|17476|20296|21356	Abca1|B2m|Calr|Epn2|Fth1|H2-D1|H2-K1|H2-Q7|H2-T23|Mpeg1|Ccl2|Tapbp	-2.3	Pdgfra_low_UP
GO Biological Processes	19	GO:0002523	leukocyte migration involved in inflammatory response	19_GO:0002376 immune system process	-3	8.7	5.3	16230	23	325	4	1.2	0.61	16803|20296|20312|74748	Lbp|Ccl2|Cx3cl1|Slamf8	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:1901623	regulation of lymphocyte chemotaxis	19_GO:0040011 locomotion	-3	8.7	5.3	16230	23	325	4	1.2	0.61	18829|20296|20306|55985	Ccl21a|Ccl2|Ccl7|Cxcl13	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0061061	muscle structure development	19_GO:0032502 developmental process	-3	2.1	3.6	16230	496	325	21	6.5	1.4	11535|12043|12266|13346|14165|16000|16011|16948|17681|18595|19883|20541|20969|23892|30794|98932|107589|109676|109711|210933|232685	Adm|Bcl2|C3|Des|Fgf10|Igf1|Igfbp5|Lox|Msc|Pdgfra|Rora|Slc8a1|Sdc1|Grem1|Pdlim4|Myl9|Mylk|Ank2|Actn1|Adgrb3|Lncpint	-2.2	Pdgfra_low_UP
GO Cellular Components	20	GO:0030055	cell-substrate junction		-3	3	3.9	16230	181	325	11	3.4	1	16403|16452|20971|24099|72333|109700|109711|208177|210126|319939|545370	Itga6|Jak2|Sdc4|Tnfsf13b|Palld|Itga1|Actn1|Phldb2|Lpp|Tns3|Hmcn1	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:1902532	negative regulation of intracellular signal transduction	19_GO:0048519 negative regulation of biological process	-3	2.1	3.6	16230	531	325	22	6.8	1.4	12043|12505|12759|16000|16149|17392|19246|19414|19883|20656|20720|20846|21353|21929|23984|53322|57783|68178|73914|97998|238871|319939	Bcl2|Cd44|Clu|Igf1|Cd74|Mmp3|Ptpn1|Rasa3|Rora|Sod2|Serpine2|Stat1|Tank|Tnfaip3|Pde10a|Nucb2|Tnip1|Cgnl1|Irak3|Deptor|Pde4d|Tns3	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0001952	regulation of cell-matrix adhesion	19_GO:0050789 regulation of biological process	-3	3.5	4.1	16230	128	325	9	2.8	0.91	11426|11815|12043|14758|18606|18829|20971|23892|208177	Macf1|Apod|Bcl2|Gpm6b|Enpp2|Ccl21a|Sdc4|Grem1|Phldb2	-2.2	Pdgfra_low_UP
GO Molecular Functions	21	GO:0008083	growth factor activity		-3	3.5	4.1	16230	128	325	9	2.8	0.91	14165|14178|15234|16000|16196|17311|21857|22341|76527	Fgf10|Fgf7|Hgf|Igf1|Il7|Kitl|Timp1|Vegfc|Il34	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0002683	negative regulation of immune system process	19_GO:0002376 immune system process	-2.9	2.1	3.6	16230	498	325	21	6.5	1.4	11815|12258|12505|14102|14960|16000|16149|17311|18795|18829|20296|20312|20723|20971|21355|21929|23892|56045|73914|74748|77125	Apod|Serping1|Cd44|Fas|H2-Aa|Igf1|Cd74|Kitl|Plcb1|Ccl21a|Ccl2|Cx3cl1|Serpinb9|Sdc4|Tap2|Tnfaip3|Grem1|Samhd1|Irak3|Slamf8|Il33	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0120035	regulation of plasma membrane bounded cell projection organization	19_GO:0050789 regulation of biological process	-2.9	1.9	3.5	16230	748	325	28	8.6	1.6	11426|11820|12010|12168|12505|12877|14964|14972|15234|16403|17909|17973|18606|18829|20311|20312|20356|20720|24047|29819|80883|210933|214459|227541|270120|320712|329278|545156	Macf1|App|B2m|Bmpr2|Cd44|Cpeb1|H2-D1|H2-K1|Hgf|Itga6|Myo10|Nck1|Enpp2|Ccl21a|Cxcl5|Cx3cl1|Sema5a|Serpine2|Ccl19|Stau2|Ntng1|Adgrb3|Fnbp1l|Camk1d|Fat3|Abi3bp|Tnn|Kalrn	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0009725	response to hormone	19_GO:0050896 response to stimulus	-2.9	2	3.5	16230	568	325	23	7.1	1.4	12043|12877|13123|14102|14600|16000|16452|16847|16948|17718|18795|18829|19246|20846|21857|22234|24047|79221|108155|213053|238393|238871|320528	Bcl2|Cpeb1|Cyp7b1|Fas|Ghr|Igf1|Jak2|Lepr|Lox|ND3|Plcb1|Ccl21a|Ptpn1|Stat1|Timp1|Ugcg|Ccl19|Hdac9|Ogt|Slc39a14|Serpina3f|Pde4d|Vps13c	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0060688	regulation of morphogenesis of a branching structure	19_GO:0032502 developmental process	-2.9	5.1	4.5	16230	59	325	6	1.8	0.75	14165|14178|15234|18595|23892|240725	Fgf10|Fgf7|Hgf|Pdgfra|Grem1|Sulf1	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0009615	response to virus	19_GO:0044419 biological process involved in interspecies interaction between organisms	-2.9	2.5	3.7	16230	301	325	15	4.6	1.2	12043|15976|16819|17329|17973|20846|22038|24047|56045|68713|73914|77125|80876|215243|229898	Bcl2|Ifnar2|Lcn2|Cxcl9|Nck1|Stat1|Plscr1|Ccl19|Samhd1|Ifitm1|Irak3|Il33|Ifitm2|Traf3ip3|Gbp5	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0001503	ossification	19_GO:0032501 multicellular organismal process	-2.9	2.7	3.8	16230	240	325	13	4	1.1	12043|12167|12168|14758|16000|16011|16948|17313|17936|68713|216161|232685|329278	Bcl2|Bmpr1b|Bmpr2|Gpm6b|Igf1|Igfbp5|Lox|Mgp|Nab1|Ifitm1|Sbno2|Lncpint|Tnn	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0031175	neuron projection development	19_GO:0032502 developmental process	-2.9	1.9	3.5	16230	712	325	27	8.3	1.5	11308|11535|11658|11820|11994|12043|12167|12505|12552|12661|12759|14102|14457|14758|16452|16772|16911|20356|20971|77300|80883|109700|243385|269116|270120|329278|545156	Abi1|Adm|Alcam|App|Pcdh15|Bcl2|Bmpr1b|Cd44|Cdh11|Chl1|Clu|Fas|Gas7|Gpm6b|Jak2|Lama1|Lmo4|Sema5a|Sdc4|Raph1|Ntng1|Itga1|Gprin3|Nfasc|Fat3|Tnn|Kalrn	-2.2	Pdgfra_low_UP
GO Cellular Components	20	GO:0034358	plasma lipoprotein particle		-2.9	6.2	4.7	16230	40	325	5	1.5	0.68	11820|12759|15439|20210|27226	App|Clu|Hp|Saa3|Pla2g7	-2.2	Pdgfra_low_UP
GO Cellular Components	20	GO:1990777	lipoprotein particle		-2.9	6.2	4.7	16230	40	325	5	1.5	0.68	11820|12759|15439|20210|27226	App|Clu|Hp|Saa3|Pla2g7	-2.2	Pdgfra_low_UP
GO Molecular Functions	21	GO:0042609	CD4 receptor binding		-2.9	14	6	16230	11	325	3	0.92	0.53	14969|16149|22038	H2-Eb1|Cd74|Plscr1	-2.2	Pdgfra_low_UP
GO Cellular Components	20	GO:0034663	endoplasmic reticulum chaperone complex		-2.9	14	6	16230	11	325	3	0.92	0.53	12304|22027|64136	Pdia4|Hsp90b1|Sdf2l1	-2.2	Pdgfra_low_UP
Reactome Gene Sets	6	R-MMU-982772	Growth hormone receptor signaling		-2.9	14	6	16230	11	325	3	0.92	0.53	14600|16452|19246	Ghr|Jak2|Ptpn1	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0060693	regulation of branching involved in salivary gland morphogenesis	19_GO:0032502 developmental process	-2.9	14	6	16230	11	325	3	0.92	0.53	14165|14178|15234	Fgf10|Fgf7|Hgf	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:1903028	positive regulation of opsonization	19_GO:0002376 immune system process	-2.9	14	6	16230	11	325	3	0.92	0.53	12263|12266|14962	C2|C3|Cfb	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0030098	lymphocyte differentiation	19_GO:0002376 immune system process	-2.9	2.5	3.7	16230	302	325	15	4.6	1.2	12010|12043|14102|14961|14998|15976|16149|16196|16847|19698|19883|21929|24099|74748|79221	B2m|Bcl2|Fas|H2-Ab1|H2-DMa|Ifnar2|Cd74|Il7|Lepr|Relb|Rora|Tnfaip3|Tnfsf13b|Slamf8|Hdac9	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0050727	regulation of inflammatory response	19_GO:0050896 response to stimulus	-2.9	2.3	3.6	16230	366	325	17	5.2	1.2	11820|12266|12505|13032|15234|16000|16452|16803|18023|19883|20312|21929|57783|74748|77125|210808|216161	App|C3|Cd44|Ctsc|Hgf|Igf1|Jak2|Lbp|Nfe2l1|Rora|Cx3cl1|Tnfaip3|Tnip1|Slamf8|Il33|Lacc1|Sbno2	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0007610	behavior	19_GO:0032501 multicellular organismal process	-2.9	1.9	3.5	16230	677	325	26	8	1.5	11820|11994|12010|12043|12288|12661|13014|13123|15212|16000|16508|16819|16847|18795|20501|20512|20656|20720|64085|94109|98685|210933|218038|238871|381413|545156	App|Pcdh15|B2m|Bcl2|Cacna1c|Chl1|Cstb|Cyp7b1|Hexb|Igf1|Kcnd2|Lcn2|Lepr|Plcb1|Slc16a1|Slc1a3|Sod2|Serpine2|Clstn2|Csmd1|Trmt1l|Adgrb3|Amph|Pde4d|Gpr176|Kalrn	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0060512	prostate gland morphogenesis	19_GO:0022414 reproductive process	-2.9	8.3	5.1	16230	24	325	4	1.2	0.61	12505|13123|14165|16000	Cd44|Cyp7b1|Fgf10|Igf1	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0010759	positive regulation of macrophage chemotaxis	19_GO:0040011 locomotion	-2.9	8.3	5.1	16230	24	325	4	1.2	0.61	18829|20296|20312|76527	Ccl21a|Ccl2|Cx3cl1|Il34	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0060740	prostate gland epithelium morphogenesis	19_GO:0022414 reproductive process	-2.9	8.3	5.1	16230	24	325	4	1.2	0.61	12505|13123|14165|16000	Cd44|Cyp7b1|Fgf10|Igf1	-2.2	Pdgfra_low_UP
WikiPathways	27	WP85	Focal adhesion		-2.9	3	3.9	16230	184	325	11	3.4	1	11797|12043|15234|16000|16403|16772|18595|22341|107589|109711|329278	Birc2|Bcl2|Hgf|Igf1|Itga6|Lama1|Pdgfra|Vegfc|Mylk|Actn1|Tnn	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0044089	positive regulation of cellular component biogenesis	19_GO:0048518 positive regulation of biological process	-2.9	2	3.5	16230	537	325	22	6.8	1.4	11303|12759|14102|14469|17392|17973|18606|18829|20312|20969|20971|24047|29819|30794|55985|64085|170625|208177|210933|214459|229898|260315	Abca1|Clu|Fas|Gbp2|Mmp3|Nck1|Enpp2|Ccl21a|Cx3cl1|Sdc1|Sdc4|Ccl19|Stau2|Pdlim4|Cxcl13|Clstn2|Snx18|Phldb2|Adgrb3|Fnbp1l|Gbp5|Nav3	-2.2	Pdgfra_low_UP
GO Molecular Functions	21	GO:0002020	protease binding		-2.9	3.2	3.9	16230	157	325	10	3.1	0.96	12043|12661|13014|14102|16819|20708|20723|21857|21929|320924	Bcl2|Chl1|Cstb|Fas|Lcn2|Serpinb6b|Serpinb9|Timp1|Tnfaip3|Ccbe1	-2.2	Pdgfra_low_UP
WikiPathways	27	WP4466	Oxidative stress and redox pathway		-2.9	4.3	4.2	16230	82	325	7	2.2	0.81	12505|14862|20656|20657|22166|24059|56615	Cd44|Gstm1|Sod2|Sod3|Txn1|Slco2a1|Mgst1	-2.2	Pdgfra_low_UP
GO Biological Processes	19	GO:0042832	defense response to protozoan	19_GO:0044419 biological process involved in interspecies interaction between organisms	-2.9	6.1	4.7	16230	41	325	5	1.5	0.68	14469|17472|60440|76074|100702	Gbp2|Gbp4|Iigp1|Gbp8|Gbp6	-2.2	Pdgfra_low_UP
